LREN3,RADL3,MGLU3,VIIA3,AMER3
37.2,24.85,24.01,14.85,74.05
38.98,25.66,23.72,14.9,76.06
38.71,25.81,23.95,14.58,79.95
38.75,26.72,24.43,14.54,80.78
39.44,26.56,24.07,14.32,79.28
38.73,25.97,25.4,14.57,86.04
38.06,25.24,25.47,14.26,88.3
36.86,24.81,25.97,14.19,87.82
37.21,25.64,25.73,14.52,84.42
37.46,24.94,25.77,14.17,83.36
38.84,25.12,26.17,15.29,84.77
37.26,24.7,25.25,14.69,80.95
36.9,24.8,24.91,14.38,82.17
36.85,25.04,25.28,15.28,87.81
37.59,25.21,25.63,15.08,88.89
37.14,24.66,25.29,15.0,84.9
36.85,25.02,25.83,15.08,83.1
37.05,25.13,26.14,15.22,82.67
36.74,25.38,26.22,14.93,81.62
35.72,25.22,25.28,14.35,81.17
35.39,25.75,25.63,14.6,84.18
35.85,25.65,25.89,14.48,83.99
36.43,24.81,25.48,14.62,84.94
35.94,24.56,25.02,14.49,81.62
35.64,24.82,24.92,14.0,87.17
34.45,24.31,24.24,12.94,88.18
34.38,24.68,24.84,13.19,84.47
33.53,24.37,24.62,13.27,84.86
33.46,23.64,24.05,12.63,83.85
32.94,23.02,24.17,11.87,80.64
33.4,22.58,24.53,12.11,79.39
33.58,22.67,24.26,12.02,77.28
33.67,23.0,25.1,11.92,74.88
35.34,23.39,25.42,12.11,73.44
35.54,23.51,25.11,12.03,70.3
34.14,22.08,23.09,11.54,65.53
33.14,22.79,23.38,10.98,62.09
34.43,24.13,24.88,11.87,66.85
36.32,23.84,24.78,12.32,66.3
37.34,24.0,24.55,11.8,62.85
37.57,24.75,23.71,12.24,64.72
36.57,25.64,24.14,12.0,62.7
37.39,25.44,23.93,12.19,63.48
36.94,25.41,22.27,11.61,60.23
38.22,25.67,22.28,12.16,61.35
37.39,25.86,21.9,12.08,61.91
37.48,25.75,21.5,12.11,61.52
36.81,24.86,20.36,11.44,59.42
38.58,24.83,20.29,12.04,59.79
37.78,24.65,19.97,11.97,58.3
37.33,25.22,19.64,11.81,59.26
39.52,25.54,20.05,12.34,60.53
38.32,24.86,20.23,12.07,59.74
38.62,24.3,20.43,12.25,60.55
39.02,24.55,20.41,12.52,60.67
39.44,24.37,20.59,12.36,62.09
38.81,24.06,20.17,12.31,60.25
38.18,24.45,21.84,12.92,62.19
37.34,23.96,21.66,12.47,61.6
36.96,24.41,21.64,12.57,62.25
37.35,24.67,22.19,12.61,67.83
37.33,24.58,22.11,12.78,65.95
37.71,24.76,22.19,12.83,67.05
42.2,24.55,21.91,12.75,67.06
40.7,24.69,21.64,12.8,66.47
39.05,24.64,21.59,12.67,64.61
36.71,24.55,21.14,12.63,63.92
36.73,24.72,21.72,13.12,63.72
37.34,24.18,21.7,12.85,63.28
36.39,24.36,20.94,12.16,61.42
36.03,25.4,20.64,12.22,62.39
36.0,25.09,20.25,12.1,67.19
36.39,26.09,20.02,11.83,66.2
36.93,26.49,20.17,11.87,65.63
37.01,26.18,19.74,11.94,64.75
37.28,26.41,19.89,12.1,64.31
37.67,26.19,19.45,11.96,61.95
39.23,26.78,19.88,12.16,61.44
39.53,27.17,19.19,12.03,58.76
40.09,26.62,19.31,12.12,58.12
38.9,25.2,18.58,11.7,57.6
39.74,25.4,19.12,12.22,59.01
39.41,25.68,19.14,12.13,58.32
40.62,26.39,18.85,11.98,57.53
40.26,26.48,18.96,11.99,56.78
39.96,26.51,18.67,12.05,55.65
39.66,26.84,18.73,11.91,55.85
39.77,26.59,18.52,11.87,55.07
39.65,27.88,19.99,12.46,57.34
40.58,27.36,20.01,12.43,58.25
41.43,27.03,19.66,12.51,57.02
42.33,27.1,19.58,12.72,58.6
42.72,27.11,20.24,12.72,58.89
42.15,27.96,20.15,12.98,58.76
43.12,28.04,20.34,13.84,62.6
43.08,27.96,20.49,14.35,62.49
43.32,27.81,20.84,14.55,63.28
43.59,28.12,20.79,14.65,64.62
43.94,27.74,21.04,15.29,65.28
43.14,27.69,20.26,15.08,65.04
42.89,27.77,20.27,14.56,66.99
41.83,26.57,20.37,14.6,66.2
43.17,26.92,20.58,14.8,69.57
42.83,26.99,20.88,14.76,71.07
41.99,26.88,20.3,14.68,69.9
41.7,26.28,21.3,15.06,69.47
41.88,25.28,21.06,15.17,69.33
41.68,25.55,21.26,15.75,69.32
41.24,25.79,20.96,15.93,68.67
40.47,25.15,20.57,15.8,67.15
41.13,25.42,21.64,15.77,69.2
40.62,24.55,21.38,15.72,66.97
40.88,25.08,21.52,16.03,68.29
39.88,24.87,21.66,16.02,67.73
39.91,24.54,21.14,15.79,65.16
38.65,24.43,20.68,15.46,64.45
39.15,24.63,21.63,15.6,65.6
39.26,24.6,21.37,15.48,64.66
39.07,24.48,21.07,15.0,63.31
40.08,25.72,22.01,15.15,65.69
40.22,25.45,21.92,14.85,64.82
40.51,25.63,22.1,14.73,66.18
40.94,26.25,22.49,14.86,67.41
40.82,26.32,22.93,14.86,65.44
40.58,26.52,23.72,14.73,64.2
40.63,26.9,23.9,14.6,66.87
39.66,26.41,23.12,14.05,60.89
39.25,26.12,23.37,14.03,60.31
38.97,26.46,23.36,14.15,56.89
39.57,26.66,23.25,14.28,56.54
39.08,26.37,22.6,14.09,55.05
38.39,25.95,22.04,13.74,52.2
